rank,company,effectiveness,customer_satisfaction,employee_engagement,social_responsibility,innovation,financial_strength
31,General Mills Inc,67.65,69.73,60.22,62.97,62.038,47.36
32,ServiceNow Inc.,67.45,62.06,68.95,63.29,56.758,55.43
33,Hilton Worldwide Holdings Inc,67.42,64.99,59.76,62.85,63.973,52.25
34,Uber Technologies Inc.,67.18,47.15,43.14,50.3,98.081,72.2
35,Air Products & Chemicals Inc,66.54,65.58,57.83,59.77,68.054,47.78
36,Intuit Inc,66.52,59.16,71.95,61.83,57.456,52.09
37,Booz Allen Hamilton Holding Corp A,66.27,56.83,65.59,58.11,68.709,51.72
38,RTX Corporation,66.25,54.92,51.46,58.33,83.641,49.71
39,Autodesk Inc,66.21,64.76,69.49,65.59,49.099,52.43
40,Dell Technologies Inc-C,66.1,62.39,56.6,59.81,66.662,55.87
41,Hewlett Packard Enterprise Co,65.88,62.81,65.05,65.2,56.964,47.27
42,JP Morgan Chase & Co,65.66,54.43,58.17,55.03,60.503,87.22
43,Coca-Cola Co,65.55,61.2,57.96,58.24,65.114,58.9
44,Medtronic plc,65.55,54.3,53.35,64.65,76.371,44.75
45,Accenture plc A,65.5,61.63,58.72,69.4,52.693,57.56
46,Verizon Communications Inc,65.35,52.27,56.95,59.67,63.288,76.7
47,Amgen Inc,65.28,59.99,63.88,58.04,61.956,56.15
48,S&P Global Inc,65.27,64.31,65.41,64.37,53.866,48.04
49,General Motors Company,64.96,60.71,49.25,62.21,62.798,67.36
50,Jacobs Solutions Inc.,64.84,63.95,60.52,63.74,58.178,47.44
51,Boston Scientific Corp,64.67,48.45,65.76,61.94,68.922,49.7
52,AbbVie Inc.,64.67,57.88,61.9,59.82,60.744,58.59
53,Trane Technologies plc,64.42,69.09,60.22,67.82,43.113,56.6
54,Home Depot Inc,64.24,57.6,52.76,58.33,63.423,69.93
55,CBRE Group Inc.,64.19,58.97,60.0,63.58,47.357,75.1
56,eBay Inc.,64.14,55.73,55.82,61.0,66.858,55.64
57,Linde plc,63.82,66.79,50.77,63.26,58.472,53.09
58,Advanced Micro Devices,63.68,57.99,63.71,65.34,55.812,47.9
59,Eaton Corp plc,63.67,64.68,55.2,62.62,56.521,53.8
60,Bank of America Corp,63.6,48.88,59.12,58.45,68.787,61.3
61,Ford Motor Co,63.4,56.93,54.63,59.11,61.693,64.95
62,ProLogis Inc,63.37,69.31,71.69,59.44,45.823,42.85
63,PayPal Holdings Inc.,63.26,55.22,49.28,59.71,74.969,49.56
64,Dow Inc,63.23,55.38,62.9,58.95,67.035,43.01
65,Mondelez International Inc,63.22,65.52,56.26,60.93,57.29,49.83
66,"Meta Platforms, Inc. Class A",63.16,34.76,49.21,48.81,82.559,95.07
67,KBR Inc,62.93,61.8,64.37,63.28,52.075,46.76
68,United Rentals Inc,62.89,70.6,64.06,63.05,40.612,53.12
69,Jones Lang Lasalle Inc,62.77,54.13,57.45,63.44,56.523,62.97
70,Abbott Laboratories,62.74,47.96,56.28,63.0,68.47,54.18
71,Walmart Inc.,62.62,54.89,37.4,55.4,67.646,89.34
72,Rockwell Automation Inc,62.53,62.99,49.64,58.68,66.793,48.12
73,Owens Corning Inc,62.44,68.66,56.89,64.25,49.397,46.85
74,Costco Wholesale Corp,62.38,62.37,56.43,48.39,62.864,65.6
75,T-Mobile US Inc,62.27,59.68,53.12,57.09,58.124,66.87
76,AES Corp,62.25,51.96,59.68,64.63,63.284,44.83
77,Leidos Holdings Inc,62.12,58.04,56.28,57.63,63.543,52.23
78,Estee Lauder Cos. A,61.98,74.68,51.55,63.0,49.251,44.77
79,Pfizer Inc,61.97,56.03,53.3,62.32,63.699,50.27
80,Marriott Intl A,61.84,61.05,59.98,56.34,58.141,51.82
81,Northrop Grumman Corp,61.83,56.71,59.21,54.77,66.057,49.12
82,Johnson Controls International plc,61.8,66.09,51.3,66.7,51.411,48.51
83,Clorox Co,61.78,68.24,53.08,60.26,48.098,60.95
84,CNH Industrial NV,61.71,65.16,51.67,64.01,57.423,43.07
85,Hershey Co,61.7,65.99,55.38,62.5,51.57,49.58
86,Kimberly-Clark,61.7,60.29,58.7,57.44,54.491,59.35
87,Regeneron Pharmaceuticals Inc,61.59,64.35,58.93,59.39,53.217,49.21
88,Broadridge Financial Solutions Inc.,61.52,58.22,53.91,54.04,68.578,50.11
89,Gartner Inc,61.52,54.0,62.47,55.09,62.604,52.94
90,W.W. Grainger Inc,61.32,60.82,58.35,59.62,52.608,55.96
91,Ingersoll Rand Inc.,61.15,67.58,56.23,65.94,45.544,46.57
92,Royal Caribbean Group,61.0,50.32,63.68,57.69,50.093,73.59
93,Emerson Electric Co,60.95,57.05,56.01,58.86,62.259,47.82
94,NetFlix Inc,60.87,52.5,62.72,46.14,61.568,71.96
95,Target Corp,60.84,56.21,42.22,59.51,72.722,50.44
96,Intuitive Surgical Inc,60.82,59.02,67.09,49.79,56.381,54.62
97,SLB Ltd,60.82,50.56,60.62,59.14,63.774,47.94
98,Bristol-Myers Squibb,60.8,56.64,53.99,61.19,61.759,47.33
99,MSCI Inc,60.77,54.96,64.78,57.03,56.403,50.95
100,Cadence Design Systems Inc,60.72,51.52,69.52,60.09,51.453,52.43
101,Edwards Lifesciences Corp,60.67,58.31,58.74,59.79,56.388,48.66
102,Gilead Sciences Inc,60.63,56.13,57.32,57.64,61.197,50.06
103,Capital One Financial Corp,60.62,51.56,55.76,52.16,74.258,47.19
104,Motorola Solutions Inc,60.36,51.02,68.93,61.83,47.914,55.57
105,Lululemon Athletica inc,60.36,56.48,61.39,48.6,63.446,55.15
106,Delta Air Lines,60.35,50.22,65.64,50.77,63.765,54.61
107,Moody’s Corp,60.27,57.0,56.38,64.36,51.253,53.31
108,Principal Financial Group,60.2,55.3,56.72,66.8,55.976,41.47
109,Booking Holdings Inc,60.1,51.83,52.74,53.95,63.167,66.49
110,Cardinal Health Inc,60.05,59.87,51.01,61.88,53.246,56.95
111,Agilent Technologies Inc,60.02,60.66,57.12,64.86,48.572,47.94
112,Palo Alto Networks Inc.,60.01,48.46,66.4,58.44,50.747,64.05
113,Deckers Outdoor,59.84,66.86,52.36,57.99,46.83,60.73
114,Becton Dickinson & Co,59.82,51.37,55.19,61.37,64.952,43.02
115,Carnival Corp,59.75,48.01,58.77,59.89,58.779,57.8
116,Xylem Inc,59.53,66.78,52.39,60.42,51.155,45.71
117,Verisk Analytics Inc,59.51,56.11,59.33,52.1,55.717,62.13
118,Molson Coors Beverage Co B,59.44,63.33,58.69,58.96,50.615,45.11
119,L3Harris Technologies Inc,59.25,58.04,55.29,57.33,60.203,44.52
120,ResMed Inc,59.17,57.82,60.46,53.9,56.143,50.61
121,"The Hartford Insurance Group, Inc.",59.11,52.36,55.56,63.26,55.623,50.56
122,GE Healthcare Technologies Inc.,59.08,57.28,62.43,54.94,55.511,46.85
123,Exelon Corp,59.04,47.42,65.37,58.62,58.487,46.94
124,Texas Instruments Inc,58.79,51.31,62.41,60.33,52.494,51.23
125,"Expedia Group, Inc.",58.79,47.53,53.7,52.47,71.696,52.05
126,Stryker Corp,58.73,56.12,59.88,52.73,58.547,50.01
127,Corteva Inc.,58.68,50.75,56.0,46.13,76.524,45.22
128,Vertex Pharmaceuticals Inc,58.56,57.61,68.12,54.93,50.16,44.04
129,Illinois Tool Works Inc,58.5,57.54,52.56,50.83,61.802,55.96
130,Las Vegas Sands,58.41,49.84,47.74,60.3,65.398,51.66
131,CRH Plc,58.36,72.23,46.17,63.9,41.423,50.92
132,Kellanova,58.34,63.98,55.19,56.13,50.789,48.92
133,Nasdaq Inc,58.25,54.91,61.8,65.19,45.531,45.85
134,Akamai Technologies Inc,58.23,56.14,66.59,57.18,50.17,42.89
135,Genpact Ltd,58.17,58.31,52.92,65.54,48.147,48.25
136,The Cigna Group,58.14,49.02,51.52,69.23,51.183,54.37
137,Metlife Inc,58.12,49.38,58.07,63.33,53.97,49.35
138,Ball Corp,58.1,64.8,55.55,61.17,45.944,44.46
139,Ralph Lauren Corp A,58.07,59.2,55.99,59.96,47.462,53.55
140,DuPont de Nemours Inc.,58.01,54.14,57.12,55.06,60.827,45.08
141,Hasbro Inc,58.01,58.31,39.73,62.96,62.916,46.31
142,Keurig Dr Pepper Inc,57.87,65.67,41.93,61.68,55.278,45.39
143,Automatic Data Processing,57.83,53.78,54.85,54.02,56.597,58.84
144,Danaher Corp,57.82,61.01,52.83,63.43,48.276,45.4
145,Cognizant Tech Solutions Corp,57.8,59.71,48.12,58.13,57.055,49.57
146,Thermo Fisher Scientific,57.8,56.42,49.53,61.22,55.444,50.11
147,Citigroup Inc,57.74,48.64,53.13,60.67,57.827,54.81
148,TE Connectivity plc,57.7,62.06,51.78,59.93,49.047,50.23
149,"Airbnb, Inc. Class A",57.67,46.51,63.83,41.46,66.335,63.34
150,Flex Ltd,57.66,55.46,55.62,60.92,48.503,54.88
151,Republic Services Inc,57.59,63.48,48.4,58.69,51.117,51.1
152,3M Co,57.46,43.56,53.95,52.0,71.594,52.56
153,AECOM,57.46,65.44,53.18,57.63,47.685,47.43
154,McCormick & Co,57.04,64.17,53.43,54.78,51.582,45.34
155,Walt Disney Co,57.0,45.82,53.82,55.01,66.211,50.18
156,AT&T Inc,56.95,50.05,44.24,55.67,57.617,73.23
157,LyondellBasell Industries N.V.,56.93,51.33,61.07,58.3,53.287,45.4
158,McKesson Corp,56.92,53.96,52.99,56.0,52.725,59.78
159,PPG Industries Inc,56.88,56.27,45.74,57.85,61.362,47.03
160,Travelers Cos Inc,56.78,49.31,62.97,55.78,51.988,52.76
161,Intl Flavors & Fragrances,56.73,61.32,49.89,58.36,54.902,41.15
162,Avery Dennison Corp,56.61,60.5,54.52,58.84,47.819,46.85
163,Pentair PLC,56.59,69.81,45.66,59.4,44.756,48.98
164,Fluor Corp,56.52,57.17,57.55,56.38,46.65,54.76
165,Tractor Supply Co,56.43,66.78,43.55,57.79,50.76,48.99
166,The Campbell’s Company,56.42,63.98,54.45,54.84,49.354,44.58
167,Oshkosh Corporation,56.37,55.27,53.75,57.4,54.251,47.14
168,Bunge Global SA,56.37,57.9,56.16,54.04,51.827,49.68
169,NXP Semiconductors NV,56.31,51.74,62.47,62.38,43.302,49.62
170,Gap Inc,56.29,51.19,51.44,66.15,48.617,51.12
171,Jabil Inc,56.27,54.69,51.17,59.84,49.599,55.97
172,FactSet Research Systems Inc,56.17,58.39,60.61,55.06,46.414,48.51
173,Fortinet Inc,56.15,54.02,54.84,56.5,46.827,62.53
174,INSULET CORP,56.13,55.9,56.59,56.45,49.936,50.06
175,Lowe’s Cos Inc,56.09,56.29,43.99,62.58,51.506,54.69
176,Veralto Corp,56.04,62.43,56.73,55.53,44.023,50.32
177,Lennox International Inc,55.96,60.01,54.04,55.1,44.403,59.06
178,Tetra Tech Inc,55.89,54.99,56.85,55.32,52.247,47.83
179,WESCO Intl Inc,55.8,58.57,48.5,60.01,51.36,46.72
180,Archer-Daniels-Midland Co,55.78,64.93,49.34,50.49,51.781,52.0
181,Goldman Sachs Group Inc,55.71,54.91,50.17,57.33,51.729,55.0
182,Best Buy Co Inc,55.59,59.05,46.99,62.43,48.559,47.58
183,Zoetis Inc,55.57,53.77,56.61,57.08,48.611,52.07
184,Micron Technology Inc,55.55,46.48,56.42,61.16,50.592,53.76
185,DexCom Inc,55.49,59.83,52.2,53.24,52.888,47.27
186,Taylor Morrison Home Corp,55.45,57.9,66.16,54.96,39.018,50.41
187,Starbucks Corp,55.39,46.22,40.21,52.88,73.604,53.16
188,Allstate Corp,55.32,52.37,45.8,55.91,57.612,56.48
189,Hubbell Inc,55.25,53.4,49.02,57.42,54.967,50.75
190,Analog Devices Inc,55.24,54.11,58.78,60.78,45.257,44.74
191,Dover Corp,55.19,60.55,52.71,53.23,49.999,48.94
192,United Parcel Service Inc B,55.17,60.24,41.52,51.31,58.313,56.17
193,Humana Inc,55.12,56.19,55.19,57.48,50.725,42.47
194,Williams-Sonoma Inc,55.08,55.42,42.68,60.65,52.077,55.62
195,AGCO Corp,55.08,58.52,49.55,56.63,55.37,40.14
196,Ingredion Inc,55.05,56.57,52.26,50.67,56.621,48.8
197,Ryder System Inc,55.03,62.02,43.43,55.86,54.0,47.8
198,Synopsys Inc,54.99,49.79,59.79,53.3,53.192,49.72
199,NetApp Inc,54.96,45.4,60.09,54.7,53.338,54.15
200,NextEra Energy Inc,54.94,49.66,55.08,52.69,58.719,48.24
201,Illumina Inc,54.91,61.3,48.14,61.45,49.629,37.53
202,Biogen Inc,54.85,56.87,52.07,61.76,47.871,41.59
203,Electronic Arts,54.75,53.34,56.14,56.65,50.243,46.68
204,Borgwarner Inc,54.7,57.21,52.3,58.86,47.918,45.6
205,Interpublic Group Cos,54.69,53.64,52.57,65.17,44.888,44.68
206,Duke Energy Corp,54.67,46.3,56.27,56.56,55.806,48.66
207,Old Dominion Freight Line Inc,54.63,58.12,54.98,44.19,57.405,50.74
208,The Kraft Heinz Company,54.62,58.27,47.04,56.1,54.501,44.97
209,Amcor plc,54.61,67.44,45.26,56.91,45.873,45.66
210,IDEXX Laboratories Inc,54.53,56.46,46.98,55.14,51.492,55.66
211,Wells Fargo & Co,54.52,48.95,44.15,52.21,61.881,60.43
212,IQVIA Holdings Inc,54.51,58.41,55.38,51.13,51.517,45.93
213,Duolingo Inc A,54.4,48.71,56.88,40.09,64.011,59.5
214,Baker Hughes Company,54.28,41.82,61.43,58.1,53.357,47.72
215,Textron Inc,54.27,59.81,47.06,49.36,58.668,45.82
216,Corning Inc,54.27,55.67,53.16,51.96,54.842,45.35
217,Ameriprise Financial Inc,54.27,59.57,54.95,52.17,45.563,52.45
218,CSX Corporation,54.25,61.94,48.23,58.18,44.861,48.27
219,Marsh & McLennan Companies,54.23,49.78,53.54,52.98,54.884,53.31
220,Morgan Stanley,54.04,51.31,55.55,52.52,50.887,54.62
221,Synchrony Financial,54.0,45.67,66.03,51.44,51.314,48.71
222,Baxter Intl Inc,53.96,49.87,48.46,59.41,58.399,40.23
223,"Cboe Global Markets, Inc",53.94,51.82,66.42,47.75,47.761,50.6
224,Mosaic Co,53.8,51.95,55.39,56.27,52.766,41.04
225,Progressive Corp,53.79,48.15,61.84,50.53,42.858,68.07
226,Otis Worldwide Corp,53.78,60.4,48.32,58.74,42.568,51.57
227,Cintas Corp,53.75,60.71,48.59,48.74,50.031,56.42
228,Public Service Enterprise Grp,53.74,52.76,55.92,57.31,46.932,47.41
229,AptarGroup Inc,53.74,51.17,55.78,57.75,48.109,47.44
230,Western Digital Corp,53.72,51.91,50.66,58.01,52.442,45.64
231,Workday Inc. A,53.68,49.99,56.72,58.11,48.165,46.9
232,Parsons Corporation,53.68,46.0,63.9,53.34,50.406,47.71
233,Broadcom Inc,53.67,47.38,38.01,53.32,59.508,71.07
234,Sempra,53.66,38.74,65.98,56.83,53.389,44.83
235,Pinterest Inc.,53.61,47.65,49.19,53.81,55.367,58.48
236,Comcast Corp A,53.61,42.58,53.88,57.8,53.446,55.59
237,Huntington Bancshares (OH),53.54,56.79,48.53,56.0,51.646,44.76
238,"Tapestry, Inc",53.53,55.0,54.5,55.38,44.491,53.01
239,FedEx Corp,53.51,58.53,41.1,55.96,50.8,55.5
240,Morningstar,53.49,50.41,60.44,57.45,43.865,48.36
241,Apollo Global Management Inc.,53.48,48.36,58.91,52.29,40.929,70.9
242,Axon Enterprise Inc,53.4,57.09,57.61,37.0,52.606,65.15
243,Church & Dwight Co,53.4,63.04,50.18,52.53,45.921,47.59
244,Unum Group,53.37,43.49,53.08,61.34,52.205,48.97
245,Celanese Corp A,53.36,56.1,46.84,55.61,56.96,38.38
246,Garmin Ltd,53.31,54.42,52.02,41.81,60.316,54.32
247,Intl Paper Co,53.29,63.16,48.14,51.93,49.483,44.55
248,Flowserve Corp,53.2,57.98,58.3,52.87,42.85,47.45
249,"Voya Financial, Inc",53.19,47.26,49.98,59.96,52.555,48.26
250,Stanley Black & Decker,53.14,60.85,45.45,53.82,52.808,42.27
