Name,ID,Country,Website,Groups,Aggregated subsidiaries,Region,Stage,Sector,Description,Description source,Description link,Description date,Publications: AI publications,Publications: Recent AI publication growth,Publications: AI publication percentage,Publications: AI publications in top conferences,Publications: Citations to AI research,Publications: CV publications,Publications: NLP publications,Publications: Robotics publications,Publications: AI safety publications,Publications: Large language model publications,Publications: Total publications,Patents: AI patents,Patents: AI patents: recent growth,Patents: AI patent percentage,Patents: Granted AI patents,Patents: Total patents,Patents: AI use cases: Agriculture,Patents: AI use cases: Banking and finance,Patents: AI use cases: Business,Patents: AI use cases: Computing in government,Patents: AI use cases: Document management and publishing,Patents: AI use cases: Education,Patents: AI use cases: Energy,Patents: AI use cases: Entertainment,Patents: AI use cases: Industry and manufacturing,Patents: AI use cases: Life sciences,Patents: AI use cases: Military,Patents: AI use cases: Nanotechnology,Patents: AI use cases: Networking,Patents: AI use cases: Personal devices and computing,Patents: AI use cases: Physical sciences and engineering,Patents: AI use cases: Security,Patents: AI use cases: Semiconductors,Patents: AI use cases: Telecommunications,Patents: AI use cases: Transportation,Patents: AI applications and techniques: Analytics and algorithms,Patents: AI applications and techniques: Computer vision,Patents: AI applications and techniques: Control,Patents: AI applications and techniques: Distributed AI,Patents: AI applications and techniques: Knowledge representation,Patents: AI applications and techniques: Language processing,Patents: AI applications and techniques: Measuring and testing,Patents: AI applications and techniques: Planning and scheduling,Patents: AI applications and techniques: Robotics,Patents: AI applications and techniques: Speech processing,Workforce: AI workers,Workforce: Tech Team 1 workers,City,State/province,PARAT link
EPAM Systems,6954,United States,https://www.epam.com/,S&P 500,,North America,Mature,Unknown,"EPAM Systems, Inc. is an American company that specializes in software engineering services, digital platform engineering, and digital product design, operating out of Newtown, Pennsylvania. EPAM is a founding member of the MACH Alliance.",wikipedia,https://en.wikipedia.org/wiki/EPAM_Systems,2024-06-04,20,86.1111111111111,14.3,0,235,4,3,0,0,1,140,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1036,34578,Newtown,Pennsylvania,https://parat.eto.tech/company/6954-epam-systems
DXC Technology,2296,United States,https://dxc.com/,,,North America,Mature,Software & IT Services,"DXC Technology is an IT and consulting services company that offers insurance software, security, and application development services.",crunchbase,https://www.crunchbase.com/organization/dxc-technology,2024-05-16,33,244.44444444444446,15.1,0,2865,9,2,0,1,3,218,5,-100.0,9.8,2,51,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,1,1,0,1,0,0,0,0,0,0,0,1050,31533,Ashburn,Virginia,https://parat.eto.tech/company/2296-dxc-technology
Intel,127,United States,http://www.intel.com/,"S&P 500, Global Big Tech",Habana Labs,North America,Mature,Technology Equipment,"Intel designs, manufactures, and sells integrated digital technology platforms worldwide.",crunchbase,https://www.crunchbase.com/organization/intel,2024-05-16,2363,-2.6172283509064385,19.0,303,142202,789,149,252,98,160,12418,2350,1.4631125841855352,8.5,1245,27752,4,33,71,1,1,9,14,15,42,40,0,3,8,1265,4,159,36,631,221,207,585,260,8,79,12,156,56,0,88,1240,28037,Santa Clara,California,https://parat.eto.tech/company/127-intel
Wells Fargo,807,United States,http://www.wellsfargo.com,S&P 500,,North America,Mature,Banking & Investment Services,"Wells Fargo & Company is a diversified financial services company with $1.3 trillion assets providing banking, insurance, and investments.",crunchbase,https://www.crunchbase.com/organization/wells-fargo-bank,2024-05-16,65,22.07792207792208,24.2,1,656,6,8,0,1,6,269,293,30.203559189066436,15.3,172,1916,0,98,100,3,0,6,1,0,0,5,0,0,8,160,1,48,0,74,10,18,7,10,1,42,0,4,59,0,17,3944,27392,San Francisco,California,https://parat.eto.tech/company/807-wells-fargo
Ernst & Young,808,United Kingdom,https://www.ey.com/,,,Europe,Mature,Industrial & Commercial Services,"Ernst & Young is a provider of assurance, tax, transaction, and advisory services.",crunchbase,https://www.crunchbase.com/organization/ernst-young,2024-05-16,79,30.64814814814815,6.8,7,987,13,6,8,5,1,1164,10,33.333333333333336,30.3,6,33,0,3,1,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,4487,27228,London,London,https://parat.eto.tech/company/808-ernst-young
AT&T,805,United States,https://www.att.com/,S&P 500,,North America,Mature,Telecommunications Services,"AT&T is a telecommunications company that provides wireless communications, internet services, digital television, and more.",crunchbase,https://www.crunchbase.com/organization/at-t,2024-05-16,162,-4.539125591757171,16.2,12,58641,19,18,2,12,3,998,586,27.047610175313977,12.7,383,4603,0,19,87,1,0,6,2,11,2,23,0,1,13,209,1,49,3,393,36,162,44,29,3,32,2,20,47,0,16,1561,26143,Dallas,Texas,https://parat.eto.tech/company/805-at-t
Nokia,949,Finland,http://www.nokia.com,,,Europe,Mature,Technology Equipment,Nokia is a Finnish multinational communications corporation engaged in the manufacturing of mobile devices and network infrastructure.,crunchbase,https://www.crunchbase.com/organization/nokia,2024-05-16,967,1.9741546520664979,12.9,66,27642,220,47,49,36,37,7471,1298,25.27160240817139,8.2,319,15904,0,0,21,0,0,2,2,3,7,40,0,0,2,256,0,46,1,984,10,439,111,24,1,14,0,79,17,0,28,482,25165,Espoo,Uusimaa,https://parat.eto.tech/company/949-nokia
SAP,812,Germany,https://www.sap.com/,,,Europe,Mature,Software & IT Services,"SAP provides enterprise application software to various industries, including consumer, discrete manufacturing, public services.",crunchbase,https://www.crunchbase.com/organization/sap,2024-05-16,287,23.08788763732443,16.5,38,12411,51,54,6,13,19,1735,1003,25.779687215857425,18.3,612,5483,1,52,226,1,0,4,1,2,6,5,0,4,11,766,1,77,0,105,2,21,73,11,5,157,19,7,169,0,14,711,23606,Walldorf,Baden-Wurttemberg,https://parat.eto.tech/company/812-sap
Citi,809,United States,https://www.citigroup.com,S&P 500,,North America,Mature,Banking & Investment Services,Citigroup is a financial services holding company that provides various financial products and services.,crunchbase,https://www.crunchbase.com/organization/citigroup,2024-05-16,56,42.142857142857146,9.4,2,528,10,4,4,3,2,596,54,-100.0,41.9,11,129,0,5,7,1,0,1,0,0,0,0,0,0,1,38,0,2,0,15,0,8,0,0,0,6,0,0,4,0,0,3314,23024,New York,New York,https://parat.eto.tech/company/809-citi
Bank of America,811,United States,http://www.bankofamerica.com,S&P 500,,North America,Mature,Banking & Investment Services,"Bank of America is a financial institution that offers credit cards, home loans, and auto loan services.",crunchbase,https://www.crunchbase.com/organization/bank-of-america,2024-05-16,26,-83.33333333333334,11.1,0,530,8,1,1,1,0,234,1605,32.428564806537274,29.2,1098,5504,0,236,222,3,1,14,5,9,6,9,0,0,26,1058,4,383,0,590,7,116,80,21,11,182,11,17,132,0,75,2659,21969,Charlotte,North Carolina,https://parat.eto.tech/company/811-bank-of-america
Siemens,789,Germany,http://www.siemens.com,,"Siemens Healthineers, Mentor Graphics",Europe,Mature,Industrial Goods,"Siemens is a technology company that offers cybersecurity, digital consulting, and business services.",crunchbase,https://www.crunchbase.com/organization/siemens,2024-05-16,2351,4.118943170911402,12.6,118,71228,840,74,287,79,65,18653,3170,15.693902879417687,10.0,1284,31707,3,21,179,1,4,9,118,1,243,1135,0,1,1,1089,60,81,13,191,93,422,1189,604,1,241,16,480,169,1,38,969,21217,Munich,Bayern,https://parat.eto.tech/company/789-siemens
Huawei,112,China,https://www.huawei.com/,Global Big Tech,,Asia,Mature,Technology Equipment,"Huawei Technologies provides infrastructure application software and devices with wireline, wireless, and IP technologies.",crunchbase,https://www.crunchbase.com/organization/huawei,2024-05-16,4891,22.01853813069755,31.3,1475,163117,1822,720,239,222,1017,15605,5535,95.95314832895185,6.1,1733,90132,7,30,187,10,0,10,28,19,52,108,0,2,11,2373,10,201,10,1605,217,592,906,147,14,139,11,202,116,2,226,991,20186,Shenzhen,Guangdong,https://parat.eto.tech/company/112-huawei
Verizon,792,United States,http://www.verizon.com/,S&P 500,,North America,Mature,Telecommunications Services,Verizon Communications is a broadband and telecommunications company that provides information and entertainment services.,crunchbase,https://www.crunchbase.com/organization/verizon,2024-05-16,42,83.33333333333333,16.9,4,970,8,3,2,0,1,248,173,-45.82704876822524,36.8,157,470,0,5,44,0,0,1,3,0,0,2,0,0,10,90,0,4,0,67,8,10,23,7,0,21,14,8,10,0,6,1494,19913,New York,New York,https://parat.eto.tech/company/792-verizon
Capital One,371,United States,http://www.capitalone.com,S&P 500,,North America,Mature,Banking & Investment Services,"Capital One is a diversified banking company that offers early and later stage venture, and debt financing investments.",crunchbase,https://www.crunchbase.com/organization/capital-one,2024-05-16,72,-4.807692307692307,37.9,7,1368,6,13,3,7,9,190,1585,403.532618252154,33.2,974,4780,0,395,431,5,2,8,5,1,2,8,1,0,19,948,2,235,0,404,21,56,110,21,6,135,17,26,183,0,87,3331,17344,Mclean,Virginia,https://parat.eto.tech/company/371-capital-one
Salesforce,219,United States,https://www.salesforce.com,S&P 500,,North America,Mature,Software & IT Services,Salesforce is a cloud-based software company that provides customer relationship management software and applications.,crunchbase,https://www.crunchbase.com/organization/salesforce,2024-05-16,494,-11.131193368035474,68.7,221,41002,107,210,5,53,209,719,775,26.29229108721823,20.7,492,3752,0,8,120,1,0,2,0,0,3,10,0,0,14,591,0,35,0,141,4,21,80,8,8,96,24,3,66,0,38,822,16623,San Francisco,California,https://parat.eto.tech/company/219-salesforce
Lockheed Martin,553,United States,http://www.lockheedmartin.com,S&P 500,,North America,Mature,Industrial Goods,"Lockheed Martin is a global security and aerospace company specialized in advanced technology systems, products and services.",crunchbase,https://www.crunchbase.com/organization/lockheed-martin,2024-05-16,290,14.131482552535184,11.7,5,4547,89,9,68,7,9,2473,29,-2.777777777777781,2.4,17,1188,0,1,1,0,0,0,1,0,2,1,0,0,0,6,2,2,0,5,14,2,4,9,0,0,0,11,1,0,0,584,14451,Bethesda,Maryland,https://parat.eto.tech/company/553-lockheed-martin
Qualcomm,209,United States,http://www.qualcomm.com,S&P 500,,North America,Mature,Technology Equipment,"Qualcomm designs, manufactures, and markets digital wireless telecommunications products and services.",crunchbase,https://www.crunchbase.com/organization/qualcomm,2024-05-16,571,14.479486687147977,20.0,125,30123,283,13,39,16,53,2853,2299,57.53534017422907,5.9,768,38889,1,9,11,0,0,2,2,8,19,36,0,0,1,557,1,47,4,1111,136,333,527,106,1,25,3,220,8,3,106,455,14177,San Diego,California,https://parat.eto.tech/company/209-qualcomm
Meta,87,United States,http://www.facebook.com,"S&P 500, Global Big Tech, GenAI Contenders",,North America,Mature,Software & IT Services,"Meta is a social technology company that enables people to connect, find communities, and grow businesses.",crunchbase,https://www.crunchbase.com/organization/facebook,2024-05-16,3283,-8.056263308838915,55.0,1350,406572,1094,880,174,250,856,5964,1081,-23.585415612724486,12.5,668,8615,0,6,237,1,0,4,1,16,6,31,0,0,224,685,1,38,7,338,12,52,312,18,1,166,31,22,71,0,75,1902,13309,Menlo Park,California,https://parat.eto.tech/company/87-meta
Adobe,6,United States,http://www.adobe.com,"S&P 500, Global Big Tech, GenAI Contenders",,North America,Mature,Software & IT Services,Adobe is a software company that provides its users with digital marketing and media solutions.,crunchbase,https://www.crunchbase.com/organization/adobe-systems,2024-05-16,2386,-0.1656784378861058,71.1,934,167501,1374,361,34,121,377,3357,1780,30.31231407716977,45.8,1271,3890,0,9,182,0,7,3,0,11,1,5,0,0,13,960,0,24,0,186,1,39,909,7,1,121,41,2,36,0,69,1041,13121,San Jose,California,https://parat.eto.tech/company/6-adobe
Fidelity National Information Services,2318,United States,https://www.fisglobal.com/,S&P 500,,North America,Mature,Financial Technology (Fintech) & Infrastructure,"FIS focuses on retail and institutional banking, payments, asset and wealth management, risk and compliance, and outsourcing solutions.",crunchbase,https://www.crunchbase.com/organization/fis,2024-05-16,0,,0.0,0,0,0,0,0,0,0,2,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,457,12085,Jacksonville,Florida,https://parat.eto.tech/company/2318-fidelity-national-information-services
Nvidia,184,United States,https://www.nvidia.com/,"S&P 500, Global Big Tech",,North America,Mature,Technology Equipment,"NVIDIA is a computing platform company operating at the intersection of graphics, HPC, and AI.",crunchbase,https://www.crunchbase.com/organization/nvidia,2024-05-16,2297,10.40954804313583,50.4,526,217288,1134,168,330,123,373,4562,1696,56.14772272909019,32.9,679,5155,2,5,11,0,0,4,11,34,61,42,0,0,0,704,2,50,50,302,229,131,734,195,5,15,0,137,9,0,98,734,11850,Santa Clara,California,https://parat.eto.tech/company/184-nvidia
Northrop Grumman,599,United States,http://www.northropgrumman.com,S&P 500,,North America,Mature,Industrial Goods,"Northrop Grumman is a global aerospace, defense and security company.",crunchbase,https://www.crunchbase.com/organization/northrop-grumman,2024-05-16,133,-9.1130604288499,7.6,2,3735,19,1,49,7,0,1749,51,74.44444444444444,4.6,34,1113,0,2,4,0,0,1,0,0,6,2,0,1,0,25,3,6,0,9,15,5,4,18,1,3,0,10,4,0,0,329,11787,Falls Church,Virginia,https://parat.eto.tech/company/599-northrop-grumman
Morgan Stanley,585,United States,http://www.morganstanley.com,S&P 500,,North America,Mature,Banking & Investment Services,"Morgan Stanley is a financial services company that offers securities, asset management, and credit services.",crunchbase,https://www.crunchbase.com/organization/morgan-stanley,2024-05-16,25,16.66666666666667,2.4,6,634,4,2,3,2,2,1037,47,-22.5,23.6,35,199,0,9,12,0,0,2,0,0,0,0,0,0,0,31,0,5,0,15,1,9,1,2,1,9,0,0,5,0,2,1717,11462,New York,New York,https://parat.eto.tech/company/585-morgan-stanley
UnitedHealth Group,818,United States,https://www.unitedhealthgroup.com/,S&P 500,,North America,Mature,Healthcare Services & Equipment,"UnitedHealth Group is a healthcare insurance company that offers health technology, health financial, and pharmacy services.",crunchbase,https://www.crunchbase.com/organization/unitedhealth-group,2024-05-16,24,-37.5,3.9,1,177,1,12,3,0,4,622,416,662.1832358674465,54.7,195,760,0,31,47,2,0,2,0,0,0,138,0,0,0,228,1,18,0,27,3,26,27,5,0,74,0,4,32,0,17,2183,11332,Minnetonka,Minnesota,https://parat.eto.tech/company/818-unitedhealth-group
Comcast,396,United States,http://corporate.comcast.com,S&P 500,,North America,Mature,Telecommunications Services,Comcast is a media and technology company that connects millions of people to the moments and experiences that matter most.,crunchbase,https://www.crunchbase.com/organization/comcast,2024-05-16,73,4.4566544566544595,44.0,24,5509,24,14,1,4,4,166,88,71.82539682539682,4.1,52,2162,0,2,11,0,0,0,0,17,0,0,0,0,3,43,0,9,0,37,3,12,21,4,0,1,0,2,5,0,9,1006,11064,Philadelphia,Pennsylvania,https://parat.eto.tech/company/396-comcast
Boeing,784,United States,https://www.boeing.com/,S&P 500,,North America,Mature,Industrial Goods,"Boeing Company manufactures and sells aircraft, rotorcraft, rockets, and satellites and provides product leasing and support services.",crunchbase,https://www.crunchbase.com/organization/the-boeing-company,2024-05-16,229,14.730583426235599,9.6,4,6799,38,4,103,7,0,2391,564,31.915847310584155,5.5,316,10220,0,43,101,0,0,9,8,1,47,21,4,1,0,236,10,25,0,81,227,80,128,248,4,35,4,120,99,0,11,541,11025,Chicago,Illinois,https://parat.eto.tech/company/784-boeing
American Express,328,United States,http://www.americanexpress.com,S&P 500,,North America,Mature,Banking & Investment Services,"American Express is a global financial services company best known for its credit card, charge card, and traveler’s cheque businesses.",crunchbase,https://www.crunchbase.com/organization/americanexpress,2024-05-16,36,5.555555555555553,33.6,5,296,2,14,0,0,4,107,76,33.28042328042327,15.2,46,500,0,21,17,0,0,0,0,0,0,0,0,0,0,48,0,18,0,21,0,2,0,1,1,5,2,0,7,0,2,2233,10745,New York,New York,https://parat.eto.tech/company/328-american-express
Mastercard,2409,United States,https://mastercard.com/,S&P 500,,North America,Mature,Software & IT Services,MasterCard provides payment processing products and solutions and related consulting services.,crunchbase,https://www.crunchbase.com/organization/mastercard,2024-05-16,57,51.42857142857142,50.0,4,257,5,8,0,3,9,114,277,56.4484126984127,9.1,92,3056,0,164,73,0,0,0,0,0,0,2,0,0,4,108,0,34,0,57,0,3,9,2,1,35,2,1,31,0,4,796,10685,Purchase,New York,https://parat.eto.tech/company/2409-mastercard
Barclays,1230,United Kingdom,https://www.barclays.co.uk/,,,Europe,Mature,Banking & Investment Services,Barclays is a global financial services company that provides various financial products and services worldwide.,crunchbase,https://www.crunchbase.com/organization/barclays-plc,2024-05-16,21,-70.0,9.7,0,293,3,2,1,0,2,217,4,,6.3,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1235,10527,London,England,https://parat.eto.tech/company/1230-barclays
Samsung,671,South Korea,https://www.samsung.com/,,,Asia,Mature,Technology Equipment,"Samsung Electronics is an electronics company that engages in consumer electronics, IT and mobile communications, and device solutions.",crunchbase,https://www.crunchbase.com/organization/samsung-electronics,2024-05-16,3125,-3.515899228177131,20.4,455,91731,1251,440,249,69,367,15293,8193,40.19134755296978,6.1,3167,134135,1,46,304,1,5,30,163,71,215,419,0,8,69,3658,113,286,248,2573,245,867,2486,410,6,197,59,485,101,2,833,659,10407,Seoul,Seoul-T'ukpyolsi,https://parat.eto.tech/company/671-samsung
Ford Motor Company,456,United States,http://www.forddirect.com,S&P 500,,North America,Mature,Automobiles & Auto Parts,"Ford Motor is an automotive company that develops, manufactures, and distributes vehicles, parts, and accessories.",crunchbase,https://www.crunchbase.com/organization/ford,2024-05-16,433,4.374608305571132,11.5,23,11967,96,8,169,45,5,3754,1011,15.062388591800357,4.6,636,21894,2,98,97,5,0,16,40,0,35,17,0,0,2,313,31,44,2,197,727,52,315,496,0,13,3,305,78,0,32,1212,10352,Dearborn,Michigan,https://parat.eto.tech/company/456-ford-motor-company
Fujitsu,1125,Japan,http://www.fujitsu.com,,,Asia,Mature,Software & IT Services,Fujitsu is a information & communications technology equipment and services firm providing IT & IT infrastructure and other services.,crunchbase,https://www.crunchbase.com/organization/fujitsu,2024-05-16,768,-3.452810918448275,21.8,45,12075,249,78,64,26,53,3526,2103,20.064834567948477,9.3,857,22544,1,41,150,4,0,4,19,8,31,128,0,2,10,1048,13,58,4,188,28,126,303,86,3,166,28,42,102,0,31,193,10297,Tokyo,Kantō,https://parat.eto.tech/company/1125-fujitsu
General Motors,820,United States,https://www.gm.com,S&P 500,,North America,Mature,Automobiles & Auto Parts,"General Motors manufactures, markets, and distributes vehicles and vehicle parts.",crunchbase,https://www.crunchbase.com/organization/general-motors,2024-05-16,346,1.3997778974737496,9.0,13,14853,68,4,132,40,4,3828,1118,-2.737646737646737,6.7,640,16746,1,103,78,1,0,4,43,2,19,12,0,0,3,305,20,10,2,214,823,101,239,567,2,32,4,362,57,0,31,718,10073,Detroit,Michigan,https://parat.eto.tech/company/820-general-motors
PayPal,195,United States,https://www.paypal.com/home,S&P 500,,North America,Mature,Industrial & Commercial Services,PayPal is a financial service company that provides online payment solutions to its users worldwide.,crunchbase,https://www.crunchbase.com/organization/paypal,2024-05-16,45,31.111111111111114,31.0,6,566,4,7,3,2,5,145,466,40.12288786482335,30.0,266,1554,0,165,102,3,0,1,2,0,0,0,0,0,13,278,1,76,0,111,0,10,14,1,3,46,5,0,35,0,11,1538,9519,San Jose,California,https://parat.eto.tech/company/195-paypal
Visa,2190,United States,https://visa.com,S&P 500,,North America,Mature,Industrial & Commercial Services,Visa is a multinational financial services company that facilitates electronic payment systems throughout the world.,crunchbase,https://www.crunchbase.com/organization/visa,2024-05-16,135,40.730837789661315,39.8,28,5736,17,10,0,18,20,339,385,29.109456851392338,21.9,160,1754,0,136,95,0,0,0,0,1,0,0,0,0,4,188,0,50,0,62,1,5,13,3,3,52,1,1,36,0,3,1033,9467,San Francisco,California,https://parat.eto.tech/company/2190-visa
