rank,ai_maturity_score,company_name,company_url,industry,revenue_range
103,35.0,SAP SE,www.sap.com,Computer and Electronic Product Manufacturing,"Over $1,000,000,000"
104,35.0,United Parcel Service,www.ups.com,Transportation and Warehousing,"Over $1,000,000,000"
105,35.0,Towards AI,www.towardsai.net,Computer and Electronic Product Manufacturing,"$1,000,000 to $9,999,999"
106,35.0,Blue Cross & Blue Shield Association,www.bcbs.com,Insurance,"Over $1,000,000,000"
107,35.0,ACL Digital,www.acldigital.com,"Professional, Scientific and Technical Services","$1,000,000 to $9,999,999"
108,35.0,SEG,www.seg.org,Industry Associations,"$10,000,000 to $49,999,999"
109,35.0,Kaiser Permanente,www.kaiserpermanente.org,Insurance,"Over $1,000,000,000"
110,35.0,Inetum,www.inetum.com,"Professional, Scientific and Technical Services","Over $1,000,000,000"
111,34.0,"Nike, Inc",www.nike.com,Manufacturing,"Over $1,000,000,000"
112,34.0,Discover Financial Services,www.discover.com,Banking and Financial Services,"Over $1,000,000,000"
113,34.0,Abbott,www.abbott.com,Manufacturing,"Over $1,000,000,000"
114,34.0,BAE Systems plc,www.baesystems.com,Manufacturing,"Over $1,000,000,000"
115,34.0,Shell PLC,www.shell.com,Mining and Natural Resources,"Over $1,000,000,000"
116,34.0,"Fidelity National Information Services, Inc.",www.fisglobal.com,Banking and Financial Services,"Over $1,000,000,000"
117,34.0,Thales,www.thalesgroup.com,Manufacturing,"Over $1,000,000,000"
118,34.0,SP Global,www.spglobalinc.com,Banking and Financial Services,"$1,000,000 to $9,999,999"
119,34.0,Braintrust,www.usebraintrust.com,Computer and Electronic Product Manufacturing,"$10,000,000 to $49,999,999"
120,34.0,inspyrsolutions.com,www.inspyrsolutions.com,Service Industry,"$10,000,000 to $49,999,999"
121,34.0,Harman Professional,www.harman.com,Computer and Electronic Product Manufacturing,"Over $1,000,000,000"
122,34.0,Centene,www.centene.com,Insurance,"Over $1,000,000,000"
123,33.0,"Gartner, Inc.",www.gartner.com,"Professional, Scientific and Technical Services","Over $1,000,000,000"
124,33.0,NBCUniversal,www.nbcuniversal.com,Media and Entertainment,"Over $1,000,000,000"
125,33.0,Prudential Financial,www.prudential.com,Insurance,"Over $1,000,000,000"
126,33.0,Mastercard Incorporated,www.mastercard.com,Banking and Financial Services,"Over $1,000,000,000"
127,33.0,TikTok,www.tiktok.com,Computer and Electronic Product Manufacturing,"Over $1,000,000,000"
128,32.0,Standard Chartered Bank,www.sc.com,Banking and Financial Services,"Over $1,000,000,000"
129,32.0,Daimler Ag,www.daimlertruck.com,Manufacturing,"Over $1,000,000,000"
130,32.0,Deutsche Bank AG,www.db.com,Banking and Financial Services,"Over $1,000,000,000"
131,32.0,PNC Financial Services Group,www.pnc.com,Banking and Financial Services,"Over $1,000,000,000"
132,32.0,Medtronic,www.medtronic.com,Manufacturing,"Over $1,000,000,000"
133,32.0,eBay,www.ebay.com,Retail Trade,"Over $1,000,000,000"
134,32.0,Caterpillar Inc.,www.caterpillar.com,Manufacturing,"Over $1,000,000,000"
135,32.0,University of Washington,www.washington.edu,Educational Services,"Over $1,000,000,000"
136,32.0,AARP,www.aarp.org,Industry Associations,"Over $1,000,000,000"
137,32.0,"AbbVie, Inc.",www.abbvie.com,Pharmaceuticals and Chemicals Manufacturing,"Over $1,000,000,000"
138,31.0,Publicis Sapient,www.publicissapient.com,"Professional, Scientific and Technical Services","$500,000,000 to $999,999,999"
139,31.0,saxon.ai,www.saxon.ai,"Professional, Scientific and Technical Services","$10,000,000 to $49,999,999"
140,31.0,Publicis Worldwide,www.publicis.com,,
141,31.0,Arrow Electronics,www.arrow.com,Wholesale Trade,"Over $1,000,000,000"
142,31.0,Tieto,www.tietoevry.com,"Professional, Scientific and Technical Services","Over $1,000,000,000"
143,31.0,Synchrony Financial,www.synchrony.com,Banking and Financial Services,"Over $1,000,000,000"
144,31.0,Northrop Grumman,www.northropgrumman.com,Manufacturing,"Over $1,000,000,000"
145,31.0,Liberty Mutual Holding Company Inc.,www.libertymutual.com,Insurance,"Over $1,000,000,000"
146,31.0,GE HealthCare,www.gehealthcare.com,Manufacturing,"Over $1,000,000,000"
147,31.0,Bell,www.bell.ca,Telecommunications,"$500,000,000 to $999,999,999"
148,31.0,"Spectrum Management Holding Company, LLC",www.spectrum.com,Media and Entertainment,"Over $1,000,000,000"
149,31.0,Sony Group,www.sony.com,Computer and Electronic Product Manufacturing,"Over $1,000,000,000"
150,31.0,Charles Schwab,www.schwab.com,Banking and Financial Services,"Over $1,000,000,000"
151,31.0,National Grid,www.nationalgrid.com,Utilities,"Over $1,000,000,000"
152,31.0,Carnegie Mellon University,www.cmu.edu,Educational Services,"Over $1,000,000,000"
153,31.0,University of Michigan Concussion Center,www.umich.edu,Educational Services,"Over $1,000,000,000"
154,31.0,Advanced Micro Devices,www.amd.com,Computer and Electronic Product Manufacturing,"Over $1,000,000,000"
155,31.0,TIAA,www.tiaa.org,Insurance,"Over $1,000,000,000"
156,31.0,ABB Ltd,www.global.abb,Computer and Electronic Product Manufacturing,"Over $1,000,000,000"
157,31.0,Daimler Ag,www.group.mercedes-benz.com,Manufacturing,"Over $1,000,000,000"
158,31.0,Bytedance Ltd.,www.bytedance.com,Computer and Electronic Product Manufacturing,"Over $1,000,000,000"
159,31.0,Toronto-Dominion Bank,www.td.com,Banking and Financial Services,"Over $1,000,000,000"
160,31.0,acme transport,www.acmetransport.ca,Transportation and Warehousing,"$10,000,000 to $49,999,999"
161,30.0,Toyota Motor,www.toyota.com,Manufacturing,"Over $1,000,000,000"
162,30.0,Ally Financial,www.ally.com,Banking and Financial Services,"Over $1,000,000,000"
163,30.0,"Servicenow, Inc.",www.servicenow.com,Computer and Electronic Product Manufacturing,"Over $1,000,000,000"
164,30.0,Larsen & Toubro Ltd.,www.larsentoubro.com,Construction and Real Estate,"Over $1,000,000,000"
165,30.0,"Equifax, Inc.",www.equifax.com,"Professional, Scientific and Technical Services","Over $1,000,000,000"
166,30.0,USC Marshall School of Business,www.usc.edu,Educational Services,"Over $1,000,000,000"
167,30.0,Sanofi,www.sanofi.com,Pharmaceuticals and Chemicals Manufacturing,"Over $1,000,000,000"
168,30.0,RELX PLC,www.relx.com,"Professional, Scientific and Technical Services","Over $1,000,000,000"
169,30.0,Tencent Holdings Limited,www.tencent.com,Media and Entertainment,"Over $1,000,000,000"
170,30.0,Airbus,www.airbus.com,Manufacturing,"Over $1,000,000,000"
171,30.0,"Money Fit by DRS, Inc",www.moneyfit.org,,
172,30.0,Eli Lilly and Company,www.lilly.com,Pharmaceuticals and Chemicals Manufacturing,"Over $1,000,000,000"
173,30.0,EPAM Systems,www.epam.com,"Professional, Scientific and Technical Services","Over $1,000,000,000"
174,30.0,Bristol-Myers Squibb,www.bms.com,Pharmaceuticals and Chemicals Manufacturing,"Over $1,000,000,000"
175,30.0,Tek Ninjas,www.tekninjas.com,"Professional, Scientific and Technical Services","$10,000,000 to $49,999,999"
176,30.0,NUS Business School,www.nus.edu.sg,Educational Services,"$500,000,000 to $999,999,999"
177,30.0,London Stock Exchange,www.lseg.com,Banking and Financial Services,"Over $1,000,000,000"
178,30.0,Bayer AG,www.bayer.com,Pharmaceuticals and Chemicals Manufacturing,"Over $1,000,000,000"
179,30.0,Syntricate Technologies,www.syntricatetechnologies.com,"Professional, Scientific and Technical Services","$10,000,000 to $49,999,999"
180,29.0,The Change Leader,www.changinghighered.com,Educational Services,"$1,000,000 to $9,999,999"
181,29.0,Bank of Nova Scotia,www.scotiabank.com,Banking and Financial Services,"Over $1,000,000,000"
182,29.0,Cox Communications,www.cox.com,Media and Entertainment,"Over $1,000,000,000"
183,29.0,DBS Bank,www.dbs.com,Banking and Financial Services,"Over $1,000,000,000"
184,29.0,iTechPost,www.itechpost.com,Media and Entertainment,"$10,000,000 to $49,999,999"
185,29.0,BNP PARIBAS,www.group.bnpparibas,Banking and Financial Services,"Over $1,000,000,000"
186,29.0,Ursus S.A,www.ursus.com,Manufacturing,"$10,000,000 to $49,999,999"
187,29.0,"Applied Materials, Inc.",www.appliedmaterials.com,Manufacturing,"Over $1,000,000,000"
188,29.0,Arizona State University,www.asu.edu,Educational Services,"Over $1,000,000,000"
189,29.0,Decrypt,www.decrypt.co,Computer and Electronic Product Manufacturing,"$1,000,000 to $9,999,999"
190,29.0,MetLife,www.metlife.com,Insurance,"Over $1,000,000,000"
191,29.0,Procter & Gamble,www.pg.com,Pharmaceuticals and Chemicals Manufacturing,"Over $1,000,000,000"
192,29.0,3M,www.3m.com,Manufacturing,"Over $1,000,000,000"
193,29.0,geniSIGHTS Pvt,www.genisights.com,"Professional, Scientific and Technical Services","Less than $1,000,000"
194,29.0,Nestlé,www.nestle.com,Manufacturing,"Over $1,000,000,000"
195,29.0,OptimHire,www.optimhire.com,"Professional, Scientific and Technical Services","$50,000,000 to $99,999,999"
196,29.0,PROLIM,www.prolim.com,"Professional, Scientific and Technical Services","$10,000,000 to $49,999,999"
197,29.0,Allstate,www.allstate.com,Insurance,"Over $1,000,000,000"
198,29.0,Fannie Mae,www.fanniemae.com,Banking and Financial Services,"Over $1,000,000,000"
199,29.0,Elevance Health,www.elevancehealth.com,Insurance,"Over $1,000,000,000"
200,29.0,AXA SA,www.axa.com,Insurance,"Over $1,000,000,000"
201,29.0,Ilitch Companies,www.ilitchcompanies.com,Manufacturing,"$1,000,000 to $9,999,999"
202,29.0,Expedia Group Media Solutions,www.expediagroup.com,Travel and Tourism,"Over $1,000,000,000"
203,29.0,Axtria - Ingenious Insights,www.axtria.com,"Professional, Scientific and Technical Services","$50,000,000 to $99,999,999"
204,29.0,New York University,www.nyu.edu,Educational Services,"Over $1,000,000,000"
205,29.0,Lenovo Group,www.lenovo.com,Computer and Electronic Product Manufacturing,"Over $1,000,000,000"
206,29.0,Verisk Analytics,www.verisk.com,"Professional, Scientific and Technical Services","Over $1,000,000,000"
207,28.0,"MAXIMUS, Inc.",www.maximus.com,"Professional, Scientific and Technical Services","Over $1,000,000,000"
208,28.0,Manulife Financial,www.manulife.com,Insurance,"Over $1,000,000,000"
209,28.0,Pearson PLC,www.pearson.com,Media and Entertainment,"Over $1,000,000,000"
210,28.0,GEICO,www.geico.com,Insurance,"Over $1,000,000,000"
211,28.0,Autodesk,www.autodesk.com,Computer and Electronic Product Manufacturing,"Over $1,000,000,000"
212,28.0,United Services Automobile Assn.,www.usaa.com,Insurance,"Over $1,000,000,000"
213,28.0,Sharpedge Solutions,www.esharpedge.com,"Professional, Scientific and Technical Services","$10,000,000 to $49,999,999"
214,28.0,Koantek,www.koantek.com,"Professional, Scientific and Technical Services","$10,000,000 to $49,999,999"
215,28.0,Enterprise,www.enterprise.com,Service Industry,"Over $1,000,000,000"
216,28.0,Nationwide,www.nationwide.com,Insurance,"Over $1,000,000,000"
217,28.0,Aetna,www.aetna.com,Insurance,"Over $1,000,000,000"
218,28.0,Massachusetts Institute of Technology,www.mit.edu,Educational Services,"Over $1,000,000,000"
219,28.0,Unilever PLC,www.unilever.com,Pharmaceuticals and Chemicals Manufacturing,"Over $1,000,000,000"
220,28.0,Movistar,www.telefonica.com,Telecommunications,"Over $1,000,000,000"
221,28.0,Freddie Mac,www.freddiemac.com,Banking and Financial Services,"Over $1,000,000,000"
222,28.0,Chubb Limited,www.chubb.com,Insurance,"Over $1,000,000,000"
223,28.0,Apex Mfg. Co.,www.apexon.com.tw,"Professional, Scientific and Technical Services","$10,000,000 to $49,999,999"
224,27.0,RTX - Resort Travel & Xchange,www.rtx.travel,Travel and Tourism,"$10,000,000 to $49,999,999"
225,27.0,John Deere Company,www.deere.com,Manufacturing,"Over $1,000,000,000"
226,27.0,Rocken Tech Products,www.rocken-tech.com,,"$1,000,000 to $9,999,999"
227,27.0,Association for the Advancement of Artificial Intelligence (AAAI),www.aaai.org,"Professional, Scientific and Technical Services","$10,000,000 to $49,999,999"
228,27.0,Snowflake,www.snowflake.com,Computer and Electronic Product Manufacturing,"Over $1,000,000,000"
229,27.0,Klaviyo,www.klaviyo.com,Computer and Electronic Product Manufacturing,"$500,000,000 to $999,999,999"
230,27.0,LexisNexis,www.lexisnexis.com,"Professional, Scientific and Technical Services","Over $1,000,000,000"
231,27.0,Best Buy,www.bestbuy.com,Retail Trade,"Over $1,000,000,000"
232,27.0,Telstra,www.telstra.com.au,Telecommunications,"Over $1,000,000,000"
233,27.0,"Citizens Financial Group, Inc.",www.citizensbank.com,Banking and Financial Services,"Over $1,000,000,000"
234,27.0,National Black MBA Association,www.nbmbaa.org,,"$100,000,000 to $199,999,999"
235,27.0,DISH Network,www.dish.com,Telecommunications,"Over $1,000,000,000"
236,27.0,BANCO SANTANDER SA,www.santander.com,Banking and Financial Services,"Over $1,000,000,000"
237,27.0,Allianz Versicherung,www.allianz.com,Insurance,"Over $1,000,000,000"
238,27.0,X,www.x.com,"Professional, Scientific and Technical Services","Over $1,000,000,000"
239,27.0,Kubrick Group,www.kubrickgroup.com,"Professional, Scientific and Technical Services","$50,000,000 to $99,999,999"
240,27.0,aUToronto,www.utoronto.ca,Educational Services,"Over $1,000,000,000"
241,27.0,Target,www.target.com,Retail Trade,"Over $1,000,000,000"
242,27.0,NatWest Group Plc,www.natwestgroup.com,Banking and Financial Services,"Over $1,000,000,000"
243,27.0,ZS,www.zs.com,"Professional, Scientific and Technical Services","$200,000,000 to $499,999,999"
244,27.0,Bp Plc,www.bp.com,Mining and Natural Resources,"Over $1,000,000,000"
245,26.0,"BlackRock, Inc.",www.blackrock.com,Banking and Financial Services,"Over $1,000,000,000"
246,26.0,Lowe’s,www.lowes.com,Retail Trade,"Over $1,000,000,000"
247,26.0,Credit Suisse High Yield Bond,www.credit-suisse.com,Banking and Financial Services,"Over $1,000,000,000"
248,26.0,Alpha Silicon,www.alphasilicon.com,"Professional, Scientific and Technical Services","$10,000,000 to $49,999,999"
249,26.0,Anyone AI,www.anyoneai.com,Educational Services,"$1,000,000 to $9,999,999"
250,26.0,Motorola Solutions,www.motorolasolutions.com,Computer and Electronic Product Manufacturing,"Over $1,000,000,000"
251,26.0,Columbia University,www.columbia.edu,Educational Services,"Over $1,000,000,000"
252,26.0,Freedom Mortgage,www.freedommortgage.com,Banking and Financial Services,"Over $1,000,000,000"
253,26.0,Nutmeg,www.nutmeg.com,Banking and Financial Services,"$10,000,000 to $49,999,999"
254,26.0,Common,www.common.org,"Professional, Scientific and Technical Services","$1,000,000 to $9,999,999"
255,26.0,Sun Life Financial,www.sunlife.com,Insurance,"Over $1,000,000,000"
256,26.0,Mayo Clinic,www.mayoclinic.org,Health Care and Social Assistance,"Over $1,000,000,000"
257,26.0,"Micron Technology, Inc.",www.micron.com,Computer and Electronic Product Manufacturing,"Over $1,000,000,000"
258,26.0,Nanyang Technological University Singapore,www.ntu.edu.sg,Educational Services,"$500,000,000 to $999,999,999"
259,26.0,"Gilead Sciences, Inc.",www.gilead.com,Pharmaceuticals and Chemicals Manufacturing,"Over $1,000,000,000"
260,26.0,Truist Financial,www.truist.com,Banking and Financial Services,"Over $1,000,000,000"
261,26.0,disneyconnect.com,www.disneyconnect.com,Media and Entertainment,"$200,000,000 to $499,999,999"
262,26.0,CBS Sports,www.techrepublic.com,Media and Entertainment,"$10,000,000 to $49,999,999"
263,26.0,Shopify Inc.,www.shopify.com,"Professional, Scientific and Technical Services","Over $1,000,000,000"
264,26.0,eJAmerica,www.ejamerica.com,"Professional, Scientific and Technical Services","$10,000,000 to $49,999,999"
265,26.0,"Costar Group, Inc.",www.costargroup.com,Construction and Real Estate,"Over $1,000,000,000"
266,26.0,Jones Lang LaSalle,www.jll.com,Construction and Real Estate,"Over $1,000,000,000"
267,26.0,"CBRE Group, Inc.",www.cbre.com,Construction and Real Estate,"Over $1,000,000,000"
268,26.0,"HITACHI, LTD.",www.hitachi-solutions.com,"Professional, Scientific and Technical Services","Over $1,000,000,000"
269,26.0,L3Harris Technologies,www.l3harris.com,Computer and Electronic Product Manufacturing,"Over $1,000,000,000"
270,26.0,T-Systems International GmbH,www.t-systems.com,"Professional, Scientific and Technical Services","Over $1,000,000,000"
271,26.0,Analytics India Magazine,www.analyticsindiamag.com,Media and Entertainment,"$10,000,000 to $49,999,999"
272,26.0,"Espn, Inc.",www.espn.com,Media and Entertainment,"Over $1,000,000,000"
273,26.0,Zebra Technologies Corp.,www.zebra.com,Computer and Electronic Product Manufacturing,"Over $1,000,000,000"
274,26.0,PepsiCo,www.pepsi.com,Manufacturing,"$10,000,000 to $49,999,999"
275,26.0,Danaher,www.danaher.com,Computer and Electronic Product Manufacturing,"Over $1,000,000,000"
276,26.0,Mobile Programming,www.mobileprogramming.com,"Professional, Scientific and Technical Services","$50,000,000 to $99,999,999"
277,26.0,Government of Canada,www.canada.ca,Public Administration,"Over $1,000,000,000"
278,26.0,Northeastern University,www.northeastern.edu,Educational Services,"Over $1,000,000,000"
279,26.0,Yahoo Inc.,www.yahooinc.com,"Professional, Scientific and Technical Services","Over $1,000,000,000"
280,26.0,"Amgen, Inc.",www.amgen.com,Pharmaceuticals and Chemicals Manufacturing,"Over $1,000,000,000"
281,26.0,Mitre,www.mitre.org,"Professional, Scientific and Technical Services","Over $1,000,000,000"
282,26.0,Northwestern University,www.northwestern.edu,Educational Services,"Over $1,000,000,000"
283,25.0,Bank of Montreal,www.bmo.com,Banking and Financial Services,"Over $1,000,000,000"
284,25.0,"Delta Air Lines, Inc.",www.delta.com,Travel and Tourism,"Over $1,000,000,000"
285,25.0,Linkontro NielsenIQ,www.nielseniq.com,"Professional, Scientific and Technical Services",Unknown
286,25.0,Tamcherry Technologies Private Limited,www.tamcherry.com,,"$1,000,000 to $9,999,999"
287,25.0,United Airlines,www.united.com,Travel and Tourism,"Over $1,000,000,000"
288,25.0,Moody’s,www.moodys.com,"Professional, Scientific and Technical Services","Over $1,000,000,000"
